display_id,num_comms
IcRvmDcTbIg,1.0
PYO3snXSRxw,218.0
65CQofiCOxw,2.0
BV54OdbTYHY,52.0
WcoJnd3jWjo,0.0
yJKKny3k7ZI,154.0
PUOW2kOuYxY,100.0
O5KgUyrYLMk,71.0
K3iXVZZ-CIw,0.0
SAE2sLafXgY,41.0
9Lg3Yc07fZs,0.0
O5VW1M1KWxo,54.0
v8W9QOB-Icg,42.0
hJ5bYqTQkWk,1.0
_t5EJdaOgQw,4.0
E87AAMPfoXU,86.0
zoctN4T38Kk,0.0
nelSIcUvZuI,2.0
vML7FQ2OPBE,3.0
JvYa8co85Jk,41.0
xWEdIE77lyQ,1.0
licYpv6NuhI,0.0
BZietcDiu2s,14.0
7flYUW9-A_M,6100.0
M081V3uKvnw,0.0
jW6vF7VnPKc,0.0
bEonYEge6cY,2.0
y6Lz0RJhRos,12.0
fck-DnyYbMg,0.0
xZdgnB9nx1Q,5.0
35dxCygzvKI,0.0
IqRSb3vMeAs,52.0
pwZ1mQEuqMQ,0.0
IawdN4kWMO0,0.0
Gu_CaaXLB6M,4.0
aJ3C-heKVJw,0.0
_9e55YS0gZw,0.0
k1tRCED_Cwo,0.0
08Y4yLsH9Hw,11.0
Nlb2ZHe9YJg,25.0
xFlUgpxcZPs,1.0
gnl_pm5P8BQ,15.0
3fB3hnA12Z0,20.0
ayK5hefj3hs,2.0
O8K-6NRvJzM,2.0
Y2hC3hhRrN0,16.0
Yl5pOqNthPE,27.0
h2QIYZypYc0,123.0
vix6gP3GJ7k,88.0
mIVfHQp8ciE,463.0
